No,会社名(正式),別名/表記ゆれ,区分,区分名,商談件数,累計成約金額(JPY),直近成約日,主な取扱,要確認,備考(根拠Deal等)
1,SB C&S株式会社,SB C&S Corp. / C&S / SBC&S,1,ディストリビューター,713,81664460,2026-07-09,SaaSライセンス+Notta Memo(量販),,量販ロット買取Deal多数「C&S 量販 Notta Memo_202604」「SB C&S_量販_Memo量販限定版_50」。COMPANY type=PARTNER。HubSpot上2レコードを合算
2,ダイワボウ情報システム株式会社,DIS / ダイワボウ,1,ディストリビューター,269,18002282,2026-06-30,SaaSライセンス+Notta Memo,,二次店Deal名に「(DIS)」表記多数。COMPANY type未設定
3,株式会社infinity,infinity,1,ディストリビューター,11,15638150,2026-07-02,Notta Memo(量販),要確認,「infinity_量販_Memo_40+Memo量販限定版_150」等SB C&Sと同一の量販ロット買取形態。仕切値契約の有無は未検証
4,株式会社大塚商会,大塚商会,2,リセラー/販売店,171,25113846,2026-06-27,SaaS+Memo,,「大塚商会様経由日本化薬様全社展開」「大塚商会様経由東京都医師会様」
5,扶桑電通株式会社,扶桑電通,2,リセラー/販売店,74,7756826,2026-06-30,SaaS+Memo,,COMPANY type=RESELLER
6,ソフトバンク株式会社,ソフトバンク(SoftBank) / SoftBank Corp.,2,リセラー/販売店,13,4370462,2026-06-05,SaaS+Memo,要確認,「SBC&S様CTC様経由ユアテック様全社展開」等の商流Dealと自社利用Dealが混在
7,リコージャパン株式会社,リコージャパン,2,リセラー/販売店,53,3924630,2026-06-26,SaaS+Memo,,「SBC&S様リコージャパン様経由テスコ様」=SB C&S配下の二次店
8,キヤノンマーケティングジャパン株式会社,キヤノンMJ / CMJ,2,リセラー/販売店,91,3059358,2026-06-24,SaaS+Memo,,「株式会社エイコー via SBC&S-CMJ」=SB C&S配下の二次店
9,キヤノンシステムアンドサポート株式会社,キヤノンS&S / CSS,2,リセラー/販売店,31,2720078,2026-06-30,SaaS+Memo,,キヤノンMJ系販社。パートナーPL内で反復取引
10,株式会社きらぼしコンサルティング,きらぼしコンサルティング,2,リセラー/販売店,6,2550280,2025-04-14,SaaS,要確認,外販Deal(現代建築研究所x3)と自社利用Dealが混在
11,富士フイルムビジネスイノベーションジャパン株式会社,FBJ / 富士フイルムBI,2,リセラー/販売店,26,1954496,2026-06-19,SaaS+Memo,,COMPANY type=RESELLER
12,アクティヴ情報システム株式会社,アクティヴ情報システム,2,リセラー/販売店,14,703831,2026-06-23,Notta Memo中心,,「【Memoセット】社会福祉法人 恵愛会(DIS)」等DIS配下で医療介護向けに外販。COMPANY type=PARTNER
